model_name,accuracy_score_average,f1_score_average,precision_score_average,recall_score_average
svm,0.954162618302206,0.9524432511985526,0.9857414291135222,0.9218499819689868
rfc,0.9584080031667206,0.9570952363376886,0.983862115838252,0.9320591417237648
lr,0.9609512756846236,0.9598943852563032,0.9812859648161476,0.9396862603678324
lgb,0.961803231494476,0.961091706727208,0.9756534350908216,0.9473314100252436
