"Name","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","User","Group","Job Type","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","batch_size","dropout","epochs","lr","max_length","pretrained","start_factor","accuracy_score_average","accuracy_scores","f1_score_average","f1_scores","loss_fold_0","loss_fold_1","loss_fold_2","loss_fold_3","loss_fold_4","precision_score_average","precision_scores","recall_score_average","recall_scores"
"7fcb6ae4-05d0-11ed-ac71-ac1f6bac3fd4","2022-07-17T12:58:24.000Z","744","2022-07-17T13:10:48.000Z","3np621xx","-","finished","2022-07-17T13:10:48.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00003","32","roberta-large","0.5","0.9753823455324048","[0.9745762711864406,0.9681528662420382,0.9766454352441614,0.9851380042462844,0.9723991507430998]","0.975148712151272","[0.9746835443037972,0.9674620390455532,0.9762419006479482,0.9850746268656716,0.9722814498933902]","0.006000489462167025","0.0047239623963832855","0.003032656153663993","0.05166288837790489","0.009531193412840366","0.9837665043200156","[0.9705882352941176,0.9911111111111112,0.9955947136563876,0.9871794871794872,0.9743589743589745]","0.9669094843130184","[0.9788135593220338,0.9449152542372882,0.9576271186440678,0.9829787234042552,0.9702127659574468]"
"6d2c7a82-0651-11ed-b30f-ac1f6bac3fd4","2022-07-18T04:21:18.000Z","746","2022-07-18T04:33:44.000Z","3ns7v7i7","-","finished","2022-07-18T04:33:44.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00003","32","roberta-large","0.5","0.9753823455324048","[0.9745762711864406,0.9681528662420382,0.9766454352441614,0.9851380042462844,0.9723991507430998]","0.975148712151272","[0.9746835443037972,0.9674620390455532,0.9762419006479482,0.9850746268656716,0.9722814498933902]","0.006000489462167025","0.0047239623963832855","0.003032656153663993","0.05166288837790489","0.009531193412840366","0.9837665043200156","[0.9705882352941176,0.9911111111111112,0.9955947136563876,0.9871794871794872,0.9743589743589745]","0.9669094843130184","[0.9788135593220338,0.9449152542372882,0.9576271186440678,0.9829787234042552,0.9702127659574468]"
"9a6879e0-062b-11ed-b30f-ac1f6bac3fd4","2022-07-17T23:50:33.000Z","510","2022-07-17T23:59:03.000Z","23oulvy1","-","finished","2022-07-17T23:59:03.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00004","64","bert-base-uncased","0.5","0.9715597898449028","[0.9766949152542372,0.9745222929936306,0.9808917197452228,0.9596602972399152,0.9660297239915074]","0.971192991404648","[0.9762419006479482,0.9747899159663864,0.9808102345415778,0.9586056644880174,0.9655172413793104]","0.0018844843143597243","0.029833704233169556","0.0025587263517081738","0.0046166288666427135","0.002697997260838747","0.9819389279699706","[0.9955947136563876,0.9666666666666668,0.9871244635193132,0.9821428571428572,0.9781659388646288]","0.960923187883159","[0.9576271186440678,0.9830508474576272,0.9745762711864406,0.9361702127659576,0.9531914893617022]"
"4ee5d3d2-0630-11ed-b30f-ac1f6bac3fd4","2022-07-18T00:24:14.000Z","261","2022-07-18T00:28:35.000Z","stczwpcw","-","finished","2022-07-18T00:28:35.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00005","32","bert-base-uncased","0.5","0.9702886034042248","[0.9703389830508474,0.9639065817409768,0.9830148619957536,0.9681528662420382,0.9660297239915074]","0.9698712075479902","[0.9698275862068964,0.962800875273523,0.9831932773109244,0.9680170575692963,0.9655172413793104]","0.006307034753262997","0.2516883313655853","0.061466168612241745","0.0029323881026357412","0.003618021262809634","0.9811137254670858","[0.986842105263158,0.995475113122172,0.975,0.97008547008547,0.9781659388646288]","0.9592535160476018","[0.9533898305084746,0.9322033898305084,0.9915254237288136,0.9659574468085106,0.9531914893617022]"
"0301657e-0628-11ed-b30f-ac1f6bac3fd4","2022-07-17T23:24:50.000Z","513","2022-07-17T23:33:23.000Z","ug69nohh","-","finished","2022-07-17T23:33:23.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00003","64","bert-base-uncased","0.5","0.9690129187808124","[0.9745762711864406,0.9681528662420382,0.978768577494692,0.9639065817409768,0.9596602972399152]","0.9687861250810682","[0.974025974025974,0.9684210526315788,0.978902953586498,0.9634408602150538,0.9591397849462366]","0.012390119023621082","0.00812392309308052","0.12335093319416046","0.0035814675502479076","0.00511948112398386","0.97523729886184","[0.995575221238938,0.9623430962343096,0.9747899159663864,0.9739130434782608,0.9695652173913044]","0.962628921745402","[0.9533898305084746,0.9745762711864406,0.9830508474576272,0.9531914893617022,0.948936170212766]"
"a3e47144-05cd-11ed-ac71-ac1f6bac3fd4","2022-07-17T12:37:56.000Z","659","2022-07-17T12:48:55.000Z","2f3g1t59","-","finished","2022-07-17T12:48:55.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","64","0.1","5","0.00002","32","roberta-large","0.5","0.9681636618806","[0.9745762711864406,0.9745222929936306,0.9723991507430998,0.951167728237792,0.9681528662420382]","0.9683298647076344","[0.9747899159663864,0.9744680851063828,0.9727463312368972,0.9521829521829522,0.9674620390455532]","0.03376289829611778","0.0018306627171114087","0.1114196628332138","0.0514179952442646","0.23390966653823853","0.96511494392376","[0.9666666666666668,0.9786324786324786,0.9626556016597512,0.9308943089430894,0.986725663716814]","0.97196898665705","[0.9830508474576272,0.9703389830508474,0.9830508474576272,0.9744680851063828,0.948936170212766]"
"5c789eae-06ca-11ed-b30f-ac1f6bac3fd4","2022-07-18T18:46:59.000Z","466","2022-07-18T18:54:45.000Z","3qhbfj89","-","finished","2022-07-18T18:54:45.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00004","32","xlnet-base-cased","0.5","0.9664696462629097","[0.9639830508474576,0.9681528662420382,0.9660297239915074,0.9681528662420382,0.9660297239915074]","0.966176234873817","[0.9639065817409768,0.9674620390455532,0.9662447257383966,0.9676025917926566,0.9656652360515022]","0.006471836473792791","0.0054139504209160805","0.0015417456161230805","0.001634426531381905","0.3290676474571228","0.9751471092492106","[0.9659574468085106,0.9911111111111112,0.96218487394958,0.9824561403508772,0.974025974025974]","0.9575513883880274","[0.961864406779661,0.9449152542372882,0.9703389830508474,0.9531914893617022,0.9574468085106383]"
"1697590a-05d7-11ed-ac71-ac1f6bac3fd4","2022-07-17T13:45:34.000Z","212","2022-07-17T13:49:06.000Z","3bbs3dqi","-","finished","2022-07-17T13:49:06.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","128","0.1","5","0.00003","32","roberta-base","0.5","0.96646964626291","[0.9639830508474576,0.9660297239915074,0.9745222929936306,0.9554140127388536,0.9723991507430998]","0.9659963735564114","[0.9626373626373628,0.9663865546218487,0.9744680851063828,0.9544468546637744,0.9720430107526882]","0.04652560874819755","0.03178514912724495","0.1267285943031311","0.031615130603313446","0.053621646016836166","0.9786051670103229","[1,0.9583333333333334,0.9786324786324786,0.9734513274336284,0.982608695652174]","0.954150739271547","[0.9279661016949152,0.9745762711864406,0.9703389830508474,0.9361702127659576,0.9617021276595744]"
"1de2b668-066e-11ed-b30f-ac1f6bac3fd4","2022-07-18T07:46:40.000Z","340","2022-07-18T07:52:20.000Z","yr27hlcm","-","finished","2022-07-18T07:52:20.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00004","32","roberta-base","0.5","0.9660405196300694","[0.9745762711864406,0.9639065817409768,0.9532908704883228,0.970276008492569,0.9681528662420382]","0.9659569729410664","[0.974025974025974,0.9640591966173362,0.9541666666666668,0.9702127659574468,0.9673202614379084]","0.08512943238019943","0.008319982327520847","0.002601145301014185","0.0022079208865761757","0.2952728867530823","0.9714818644774889","[0.995575221238938,0.9620253164556962,0.9385245901639344,0.9702127659574468,0.9910714285714286]","0.9609448250991706","[0.9533898305084746,0.9661016949152542,0.9703389830508474,0.9702127659574468,0.9446808510638298]"
"2583ef16-062f-11ed-b30f-ac1f6bac3fd4","2022-07-18T00:15:55.000Z","496","2022-07-18T00:24:11.000Z","1cd04wc1","-","finished","2022-07-18T00:24:11.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00005","64","bert-base-uncased","0.5","0.9656149915434163","[0.9766949152542372,0.9490445859872612,0.9766454352441614,0.9660297239915074,0.9596602972399152]","0.9657138948195196","[0.9761388286334056,0.9506172839506172,0.9764453961456102,0.9653679653679652,0.96]","0.012838423252105711","0.021690329536795616","0.04660888388752937","0.003214017953723669","0.0009343278361484408","0.9686783683277074","[1,0.924,0.987012987012987,0.9823788546255506,0.95]","0.9634908041831952","[0.9533898305084746,0.9788135593220338,0.9661016949152542,0.948936170212766,0.9702127659574468]"
