pretrained,accuracy_score_average,roc_auc_score_average,f1_score_average,precision_score_average,recall_score_average,batch_size,dropout,epochs,lr,max_length,start_factor
xlnet-large-cased,0.9418537910684084,0.98774480920743,0.939916767984039,0.9681252857342248,0.9142949873782908,32,0.1,5,2e-05,32,0.5
xlnet-base-cased,0.9664696462629097,0.991845749265007,0.966176234873817,0.9751471092492106,0.9575513883880274,16,0.1,5,4e-05,32,0.5
roberta-large,0.9753823455324048,0.9953257959622752,0.975148712151272,0.9837665043200156,0.9669094843130184,32,0.1,5,3e-05,32,0.5
roberta-base,0.96646964626291,0.9933188677746064,0.9659963735564114,0.9786051670103229,0.954150739271547,128,0.1,5,3e-05,32,0.5
bert-large-uncased,0.9651912627298572,0.9927577823687253,0.9649126145161262,0.9733181351294664,0.956711143166246,32,0.1,5,3e-05,32,0.5
bert-base-uncased,0.9715597898449028,0.9931525851583368,0.971192991404648,0.9819389279699706,0.960923187883159,16,0.1,5,4e-05,64,0.5
albert-large-v2,0.9350633344128972,0.986183644342846,0.9363368680242804,0.9230030351488846,0.9524594302199784,32,0.1,5,5e-05,32,0.5
albert-base-v2,0.9592491633380116,0.9905167871790328,0.9587446938828152,0.9720330849131904,0.9464947710061308,16,0.1,5,3e-05,32,0.5
